name,type,cask,location,age,abv %,cost,badge,# ratings,community rating,flavor summary,expert,expert score,smoky,earthy,spicy,herbal,oily,bitter,rich,sweet,mineral,salty,umami,tart,fruity,floral
EXPRESIONES DEL CORAZÓN BUFFALO TRACE REPOSADO TEQUILA,TEQUILA REPOSADO,unknown,unknown,unknown,40.0,3,unknown,18,3.82,FRUITY & RICH,AMANDA SCHUSTER,88,15,20,40,35,5,0,60,50,20,10,0,10,60,0
CHINACO REPOSADO TEQUILA,TEQUILA REPOSADO,OAK,"TAMAULIPAS, MEXICO",NAS,40.0,2,CHINACO ,14,3.79,SWEET & RICH,STEPHANIE MORENO,88,10,35,35,40,40,15,65,65,40,35,20,10,35,0
TEQUILA TAPATIO REPOSADO,TEQUILA REPOSADO,EX-BOURBON,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,TEQUILA TAPATIO ,15,3.77,SPICY,AMANDA SCHUSTER,88,10,20,45,30,10,5,40,40,20,10,15,15,35,5
TEQUILA OCHO REPOSADO EL REFUGIO 2012,TEQUILA REPOSADO,TEQUILA-SEASONED AMERICAN OAK EX-AMERICAN WHISKEY BARRELS,"LOS ALTOS, JALISCO, MEXICO",unknown,40.0,3,TEQUILA OCHO ,2,5.0,HERBAL & FRUITY,BROCK SCHULTE,88,0,58,57,86,25,20,81,78,64,72,71,50,82,60
MEZCAL ALIPÚS SANTA ANA DEL RIO,MEZCAL JOVEN,unknown,unknown,unknown,47.9,2,unknown,20,3.8,TART & MINERAL,STEPHANIE MORENO,88,40,25,5,35,10,25,25,35,60,20,25,65,35,10
TEQUILA OCHO PLATA LA MAGUEYERA 2014,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",unknown,40.0,2,TEQUILA OCHO ,32,4.27,MINERAL,AMANDA SCHUSTER,88,5,40,10,40,5,5,20,15,50,30,20,25,20,0
QUECHOL TEXANUM SOTOL,SOTOL,unknown,MEXICO,NAS,46.3,3,QUECHOL SOTOL ,unknown,unknown,RICH,AMANDA SCHUSTER,87,15,25,30,40,10,8,60,20,10,5,15,0,15,0
DON JULIO ALMA MIEL,TEQUILA JOVEN,FINISHED IN CRÉMANT DU LIMOUX WINE CASKS,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,4,DON JULIO ,2,3.5,RICH,AMANDA SCHUSTER,87,3,10,25,15,5,0,60,50,15,0,5,5,25,0
TRES GENERACIONES 50TH ANNIVERSARY AÑEJO,TEQUILA AÑEJO,AMERICAN WHITE OAK,MEXICO,NAS,45.0,5,TRES GENERACIONES ,unknown,unknown,RICH & HERBAL,STEPHANIE MORENO,87,15,45,45,60,15,45,60,55,0,0,0,25,20,0
CELOSA ROSE TEQUILA,TEQUILA JOVEN,USED FRENCH OAK NAPA VALLEY RED WINE BARRELS,MEXICO,NAS,40.0,4,CELOSA TEQUILA ,unknown,unknown,FRUITY,STEPHANIE MORENO,87,0,20,25,30,10,20,45,35,0,0,0,35,55,0
PATRÓN AHUMADO REPOSADO,TEQUILA REPOSADO,unknown,MEXICO,NAS,40.0,3,PATRÓN ,2,3.63,HERBAL & SPICY,STEPHANIE MORENO,87,50,60,65,70,15,40,50,20,0,0,10,20,10,0
TEQUILA ZARPADO REPOSADO,TEQUILA REPOSADO,EX-KENTUCKY BOURBON BARRELS,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,2,TEQUILA ZARPADO ,2,4.0,RICH,AMANDA SCHUSTER,87,5,15,40,30,0,3,50,40,15,5,0,25,30,0
PATRÓN AÑEJO TEQUILA SHERRY CASK AGED,TEQUILA AÑEJO,EX-OLOROSO SHERRY,"JALISCO, MEXICO",NAS,40.0,3,PATRÓN ,22,3.71,FRUITY & HERBAL,JAKE EMEN,87,10,10,40,70,30,30,40,40,20,20,0,40,80,40
THE LOST EXPLORER MEZCAL ESPADÍN,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,42.0,3,THE LOST EXPLORER ,2,3.63,FRUITY & BITTER,JAKE EMEN,87,40,10,20,70,30,70,50,40,60,20,10,30,80,20
MAESTRO DOBEL 50 EXTRA AÑEJO CRISTALINO TEQUILA,TEQUILA EXTRA AÑEJO,EASTERN EUROPEAN AND AMERICAN OAK BARRELS,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,4,MAESTRO DOBEL ,14,4.55,SWEET,STEPHANIE MORENO,87,10,35,30,45,30,35,40,65,10,0,15,35,45,0
