name,type,cask,location,age,abv %,cost,badge,# ratings,community rating,flavor summary,expert,expert score,smoky,earthy,spicy,herbal,oily,bitter,rich,sweet,mineral,salty,umami,tart,fruity,floral
TEQUILA EL MAYOR EXTRA AÑEJO SHERRY CASK AGED,TEQUILA AÑEJO,SHERRY CASK,"JALISCO, MEXICO",NAS,40.0,4,TEQUILA EL MAYOR ,2,4.25,RICH & SWEET,AMANDA SCHUSTER,92,10,15,15,30,10,3,70,65,20,15,5,25,40,5
THE LOST EXPLORER MEZCAL TOBALÁ,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,42.0,5,THE LOST EXPLORER ,3,4.83,EARTHY & UMAMI,JAKE EMEN,92,20,80,40,50,20,60,30,30,30,10,70,30,20,0
SEVERO TEQUILA PLATA,TEQUILA BLANCO,unknown,"JALISCO, MEXICO",NAS,40.0,2,TEQUILA SEVERO ,2,3.88,FRUITY,AMANDA SCHUSTER,92,0,15,10,20,15,0,50,40,20,0,5,25,60,20
PARTIDA ROBLE FINO AÑEJO,TEQUILA AÑEJO,EX-BOURBON AND EX-SINGLE MALT SHERRY-SEASONED CASKS,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,45.0,4,PARTIDA ,5,4.35,RICH & SWEET,AMANDA SCHUSTER,92,5,15,30,30,5,5,70,65,5,5,10,15,40,5
EL TESORO EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,EX-BOURBON,MEXICO,NAS,40.0,4,EL TESORO ,26,4.49,RICH & EARTHY,ANNA ARCHIBALD,92,0,70,40,10,0,0,90,30,0,0,0,0,35,0
TEQUILA EL MAYOR FRENCH OAK CHARDONNAY CASK FINISH REPOSADO,TEQUILA REPOSADO,FRENCH OAK EX-CHARDONNAY BARRELS,"JALISCO, MEXICO",NAS,40.0,4,TEQUILA EL MAYOR ,4,4.25,SWEET & FRUITY,JOHN RANKIN,92,0,60,35,35,10,0,65,80,0,5,15,5,70,25
MIEL DE TIERRA JOVEN AGAVE SALMIANA,MEZCAL JOVEN,UNAGED,"ZACATECAS, MEXICO",NAS,40.0,3,MIEL DE TIERRA ,unknown,unknown,SPICY & SWEET,JOHN RANKIN,92,5,50,95,40,20,5,20,75,65,60,45,5,65,20
CÓDIGO 1530 BLANCO TEQUILA,TEQUILA BLANCO,UNAGED,"JALISCO, MEXICO",NAS,40.0,2,CÓDIGO 1530 ,67,3.82,FLORAL & HERBAL,COLIN HOWARD,92,30,45,75,90,75,20,80,55,45,35,40,40,65,90
DEL MAGUEY SAN PABLO AMEYALTEPEC,MEZCAL JOVEN,UNAGED,"PUEBLA , MEXICO",NAS,47.0,4,DEL MAGUEY ,16,4.63,FLORAL,RON BECHTOL,92,25,20,30,35,25,5,25,25,15,10,30,5,20,35
PASOTE TEQUILA REPOSADO,TEQUILA REPOSADO,EX-BOURBON AMERICAN OAK,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,PASOTE ,35,4.18,SWEET & RICH,FORREST COKELY,92,15,39,63,56,61,9,68,71,53,39,56,12,55,32
DEL MAGUEY TEPEXTATE MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,45.0,4,DEL MAGUEY ,16,4.41,FRUITY & SWEET,OMARI WHEAT,92,30,30,45,60,20,15,70,80,35,15,20,40,90,40
REY CAMPERO ESPADÍN MEZCAL,MEZCAL JOVEN,NONE,"OAXACA , MEXICO",NAS,48.0,3,REY CAMPERO ,48,3.89,FRUITY,AMANDA SCHUSTER,92,20,10,25,30,5,0,40,40,25,0,0,15,70,40
VILLA LOBOS AÑEJO TEQUILA,TEQUILA AÑEJO,AMERICAN OAK,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,3,VILLA LOBOS ,2,3.25,RICH & SWEET,OMARI WHEAT,92,40,70,80,40,15,35,85,80,0,0,45,0,40,60
EL LUCHADOR ORGANIC BLANCO TEQUILA (DISCONTINUED),TEQUILA BLANCO,unknown,"JALISCO , MEXICO",NAS,55.0,3,123 SPIRITS ,11,3.65,SWEET,AMANDA SCHUSTER,92,5,20,20,30,10,0,40,60,30,10,15,15,40,0
OCHO CIENTOS SOTOL AÑEJO,SOTOL,EX-TENNESSEE WHISKEY,"CHIHUAHUA, MEXICO",NAS,43.0,3,OCHO CIENTOS ,2,2.5,RICH & SWEET,AMANDA SCHUSTER,92,10,30,30,50,40,0,90,70,0,0,5,0,30,0
MEZCALERO NO. 3,MEZCAL JOVEN,,MEXICO,NAS,47.0,3,MEZCALERO ,4,4.6,EARTHY & SMOKY,KELLEY SLAGLE,92,70,70,10,50,10,40,30,50,50,10,15,0,25,0
GRACIAS A DIOS MEZCAL TEPEXTATE,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,45.0,3,GRACIAS A DIOS ,12,4.25,HERBAL & SPICY,AMANDA SCHUSTER,92,40,5,60,60,0,0,30,40,20,0,0,20,40,5
GRACIAS A DIOS MEZCAL ESPADÍN REPOSADO,MEZCAL REPOSADO,EX-BOURBON,"OAXACA, MEXICO",NAS,45.0,2,GRACIAS A DIOS ,18,3.96,RICH & SMOKY,AMANDA SCHUSTER,92,60,10,50,30,10,0,60,50,0,0,0,20,40,5
WAHAKA MEZCAL REPOSADO CON GUSANO,MEZCAL REPOSADO,unknown,"OAXACA, MEXICO",NAS,40.0,3,WAHAKA MEZCAL ,25,3.73,HERBAL & FLORAL,DANIEL DJANG,92,60,55,45,70,20,10,40,35,45,40,45,10,35,60
EL JOLGORIO MADRECUIXE MEZCAL,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,47.0,4,EL JOLGORIO ,17,4.17,RICH,JACOB GRIER,92,10,30,30,10,25,5,30,5,20,10,0,10,20,0
TEQUILA CHAMUCOS REPOSADO,TEQUILA REPOSADO,EX-BOURBON,"JALISCO , MEXICO",NAS,40.0,2,CHAMUCOS ,35,4.26,SWEET & RICH,AMANDA SCHUSTER,92,20,15,30,40,0,5,60,60,10,0,0,0,50,20
DEL MAGUEY MINERO SANTA CATARINA MINAS MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,49.0,3,DEL MAGUEY ,59,4.12,HERBAL & RICH,STEPHANIE MORENO,92,55,45,20,75,20,15,65,50,30,25,30,15,40,10
ALACRÁN CRISTAL TEQUILA,TEQUILA AÑEJO,EX-BOURBON AMERICAN OAK,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,3,AUTÉNTICO ALACRÁN ,8,4.75,SWEET & HERBAL,RON BECHTOL,92,10,20,30,60,30,0,50,60,0,10,40,0,40,30
DON PILAR AÑEJO TEQUILA,TEQUILA AÑEJO,VIRGIN AMERICAN WHITE OAK,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,3,DON PILAR ,5,4.1,SWEET & RICH,AMANDA SCHUSTER,92,5,10,30,0,15,0,80,80,0,0,0,5,50,0
DON FULANO BLANCO TEQUILA,TEQUILA BLANCO,unknown,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,2,DON FULANO ,21,4.18,RICH,AMANDA SCHUSTER,92,0,15,20,30,5,3,40,15,10,5,10,10,20,5
EMBAJADOR SUPREME TEQUILA,TEQUILA AÑEJO,"EX-BOURBON, EX-COGNAC","LOS ALTOS, JALISCO, MEXICO",NAS,40.0,3,EMBAJADOR ,2,4.38,SWEET & RICH,AMANDA SCHUSTER,92,25,15,30,10,10,0,70,70,0,0,0,10,40,5
1800 SELECT SILVER TEQUILA (100 PROOF),TEQUILA BLANCO,unknown,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,50.0,2,1800 TEQUILA ,17,3.12,FRUITY & SWEET,KATRINA NIEMISTO,92,0,10,20,10,0,5,15,60,10,5,5,0,65,40
FUENTESECA RESERVA EXTRA AÑEJO TEQUILA 15 AÑOS,TEQUILA EXTRA AÑEJO,unknown,unknown,unknown,43.0,5,unknown,2,4.0,RICH,JACOB GRIER,92,0,10,30,10,10,0,40,30,10,0,10,0,20,0
FUENTESECA RESERVA EXTRA AÑEJO TEQUILA 7 AÑOS,TEQUILA EXTRA AÑEJO,unknown,unknown,unknown,42.0,5,unknown,9,4.36,SPICY,JACOB GRIER,92,0,10,50,30,20,10,40,10,40,10,10,10,20,0
MEZCAL VAGO CUIXE,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,49.9,4,MEZCAL VAGO ,20,4.37,SMOKY & UMAMI,DUNCAN MCROBERTS,92,95,70,50,70,60,75,65,25,75,70,90,80,35,40
REY CAMPERO JABALÍ MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,49.0,4,REY CAMPERO ,26,4.16,FLORAL,RON BECHTOL,92,25,30,25,30,25,5,30,30,20,15,25,5,30,30
LA VENENOSA SIERRA DEL TIGRE (ORANGE LABEL),RAICILLA,unknown,unknown,unknown,46.0,4,unknown,25,4.25,HERBAL & EARTHY,OMARI WHEAT,92,65,80,50,90,60,40,70,60,50,55,50,45,70,10
FORTALEZA REPOSADO TEQUILA,TEQUILA REPOSADO,USED AMERICAN OAK WHISKEY BARRELS,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,3,TEQUILA FORTALEZA ,180,4.36,FRUITY & SWEET,OMARI WHEAT,92,30,50,60,45,15,25,60,65,35,30,10,30,70,55
KOCH EL MEZCAL TOBASICHE,MEZCAL JOVEN,unknown,unknown,unknown,47.0,4,unknown,unknown,unknown,HERBAL & SMOKY,OMARI WHEAT,92,85,75,45,85,20,55,65,50,55,60,60,60,65,20
KOCH EL MEZCAL TEPEXTATE,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,47.0,4,KOCH EL MEZCAL ,1,4.0,FRUITY & SWEET,OMARI WHEAT,92,40,40,10,70,25,25,45,70,60,20,10,50,80,35
KOCH EL MEZCAL TOBALÁ,MEZCAL JOVEN,unknown,unknown,unknown,47.0,4,unknown,4,4.31,RICH & FRUITY,OMARI WHEAT,92,50,75,45,65,40,45,90,75,60,70,15,40,85,25
DON JULIO 1942 TEQUILA,TEQUILA AÑEJO,unknown,unknown,unknown,40.0,4,unknown,703,4.48,RICH & SWEET,STEPHANIE MORENO,92,10,10,60,30,5,10,70,65,5,0,0,15,20,0
SCORPION MEZCAL ANEJO TOBALÁ,MEZCAL AÑEJO,unknown,unknown,unknown,40.0,5,unknown,4,2.75,RICH & BITTER,DISTILLER STAFF,92,62,55,64,21,44,70,77,50,42,19,60,0,32,32
MEZCAL MARCA NEGRA ESPADÍN,MEZCAL JOVEN,unknown,unknown,unknown,51.1,3,unknown,38,4.15,SMOKY & FRUITY,DISTILLER STAFF,92,78,21,20,64,44,50,12,62,32,20,63,32,73,29
BRUXO NO. 2 PECHUGA DE MAGUEY MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,46.0,3,BRUXO ,26,4.03,RICH & HERBAL,AMANDA SCHUSTER,92,15,15,30,60,30,5,70,40,5,25,0,0,40,35
CASA NOBLE SINGLE BARREL REPOSADO TEQUILA,TEQUILA REPOSADO,FRENCH LIMOUSIN OAK,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,3,CASA NOBLE ,16,4.3,SWEET & FRUITY,DANIEL DJANG,92,52,60,30,62,15,10,35,68,25,30,40,10,65,30
ESPOLÒN AÑEJO TEQUILA,TEQUILA AÑEJO,NEW AMERICAN OAK & USED BOURBON BARRELS,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,ESPOLÒN ,189,3.99,SWEET & HERBAL,DISTILLER STAFF,92,32,46,67,70,45,61,55,70,34,20,50,45,55,60
T1 TEQUILA BLANCO SELECTO,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",NAS,43.0,2,T1 TEQUILA UNO ,5,4.7,EARTHY & HERBAL,RON BECHTOL,92,50,85,65,70,40,10,65,50,45,20,40,10,65,30
GRAN CENTENARIO REPOSADO TEQUILA,TEQUILA REPOSADO,FRENCH LIMOUSIN OAK,"JALISCO, MEXICO",NAS,40.0,2,GRAN CENTENARIO ,113,3.92,RICH & SWEET,AMANDA SCHUSTER,92,30,30,50,40,10,5,70,60,0,0,5,0,40,0
HERRADURA AÑEJO TEQUILA,TEQUILA AÑEJO,unknown,unknown,unknown,40.0,3,unknown,281,4.07,FRUITY & RICH,DISTILLER STAFF,92,42,64,70,68,60,42,80,74,44,20,68,22,84,28
EL JIMADOR REPOSADO TEQUILA,TEQUILA REPOSADO,unknown,unknown,unknown,40.0,1,unknown,243,3.48,UMAMI & SWEET,DISTILLER STAFF,92,0,55,38,55,58,72,50,74,35,0,80,60,70,28
EL TESORO BLANCO TEQUILA,TEQUILA BLANCO,UNAGED,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,EL TESORO ,118,4.21,HERBAL & SWEET,OMARI WHEAT,92,15,50,20,85,25,10,70,75,70,30,15,30,50,20
HERENCIA MEXICANA BLANCO TEQUILA,TEQUILA BLANCO,unknown,unknown,unknown,40.0,2,unknown,12,4.57,SWEET & HERBAL,OMARI WHEAT,92,10,60,50,75,30,10,70,80,70,50,20,60,40,50
TEQUILA OCHO EXTRA AÑEJO EL CARRIZAL 2008,TEQUILA AÑEJO,unknown,"LOS ALTOS, JALISCO, MEXICO",unknown,40.0,4,TEQUILA OCHO ,2,5.0,MINERAL & FLORAL,DANIEL DJANG,92,45,50,35,65,65,20,40,60,75,70,10,20,40,70
EXPRESIONES DEL CORAZÓN SAZERAC RYE AÑEJO TEQUILA,TEQUILA AÑEJO,unknown,unknown,unknown,45.0,3,unknown,12,4.65,FRUITY & RICH,AMANDA SCHUSTER,92,10,0,50,30,10,0,60,40,0,5,0,15,60,0
PARTIDA REPOSADO TEQUILA,TEQUILA REPOSADO,EX-JACK DANIEL'S BARRELS,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,2,PARTIDA ,38,3.68,FRUITY & SWEET,AMANDA SCHUSTER,92,5,20,20,30,5,0,40,60,5,10,0,10,60,15
MEZCAL AMARÁS ESPADÍN JOVEN,MEZCAL JOVEN,unknown,unknown,unknown,41.0,2,unknown,30,3.8,FRUITY & SWEET,AMANDA SCHUSTER,92,40,25,35,15,10,10,20,60,10,5,35,0,65,0
SUERTE AÑEJO TEQUILA,TEQUILA AÑEJO,unknown,unknown,unknown,40.0,3,unknown,19,4.22,SWEET & FRUITY,DANIEL DJANG,92,40,55,50,60,75,10,65,85,25,20,30,20,75,25
TEQUILA OCHO AÑEJO EL PUERTECITO 2011,TEQUILA AÑEJO,unknown,"LOS ALTOS, JALISCO, MEXICO",unknown,40.0,3,TEQUILA OCHO ,4,4.19,SWEET & SALTY,BROCK SCHULTE,92,68,62,75,85,65,40,87,88,83,87,67,60,74,70
TEQUILA ARTENOM SELECCIÓN DE 1549 ORGÁNICO BLANCO,TEQUILA BLANCO,UNAGED,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,3,TEQUILA ARTENOM ,7,3.96,FRUITY & HERBAL,STEPHANIE MORENO,92,10,10,30,60,15,55,35,50,25,15,30,40,65,10
SIEMBRA VALLES BLANCO TEQUILA,TEQUILA BLANCO,unknown,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,2,SIEMBRA SPIRITS ,17,4.18,RICH & FRUITY,AMANDA SCHUSTER,92,0,20,50,40,0,10,70,30,40,10,0,30,60,10
EXPRESIONES DEL CORAZÓN BUFFALO TRACE REPOSADO (2ND RELEASE),TEQUILA REPOSADO,EX-BOURBON,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,3,TEQUILA CORAZÓN ,6,4.21,RICH & EARTHY,AMANDA SCHUSTER,92,30,60,25,40,0,5,60,30,20,0,0,10,30,10
CASAMIGOS REPOSADO TEQUILA,TEQUILA REPOSADO,USED WHISKEY BARRELS,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,CASAMIGOS ,610,4.07,RICH & SWEET,STEPHANIE MORENO,92,15,10,50,35,15,10,70,65,10,10,0,20,15,0
CAMBIO REPOSADO TEQUILA,TEQUILA REPOSADO,"BURGUNDY, BORDEAUX, AND FRENCH OAK CHARDONNAY CASKS","JALISCO, MEXICO",NAS,46.0,3,CAMBIO TEQUILA ,unknown,unknown,FRUITY,AMANDA SCHUSTER,91,0,15,25,30,10,5,40,40,8,3,10,10,40,10
MAYENDA REPOSADO DOUBLE CASK,TEQUILA REPOSADO,"AMERICAN OAK, EUROPEAN OAK","JALISCO, MEXICO",NAS,40.0,3,MAYENDA ,unknown,unknown,RICH,AMANDA SCHUSTER,91,0,10,15,20,10,0,50,40,25,10,5,5,30,8
TEQUILA OCHO PLATA CORRALILLOS 2023,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,TEQUILA OCHO ,4,4.38,HERBAL & RICH,STEPHANIE MORENO,91,20,40,30,85,10,15,55,20,10,10,0,20,15,0
ALMA DEL JAGUAR BLANCO TEQUILA,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,ALMA DEL JAGUAR ,4,3.88,FRUITY & MINERAL,JAKE EMEN,91,20,40,50,40,50,70,50,40,80,20,20,50,80,30
MAYENDA TEQUILA BLANCO,TEQUILA BLANCO,unknown,"JALISCO, MEXICO",NAS,40.0,3,MAYENDA ,unknown,unknown,RICH,AMANDA SCHUSTER,91,0,5,30,15,0,0,40,20,8,5,0,5,20,10
CIERTO TEQUILA PRIVATE COLLECTION REPOSADO,TEQUILA REPOSADO,FRENCH LIMOUSIN OAK,"JALISCO, MEXICO",NAS,40.0,4,CIERTO ,2,4.38,SWEET,AMANDA SCHUSTER,91,4,10,25,20,5,0,40,50,5,0,0,5,15,0
DOS HOMBRES TOBALÁ,MEZCAL JOVEN,unknown,MEXICO,NAS,45.0,5,DOS HOMBRES ,unknown,unknown,FLORAL & FRUITY,JAKE EMEN,91,40,20,20,70,70,40,40,30,20,10,0,40,80,90
CÓDIGO 1530 ESTATE HARVEST STILL STRENGTH BLANCO,TEQUILA BLANCO,unknown,"JALISCO, MEXICO",NAS,45.0,3,CÓDIGO 1530 ,2,4.38,HERBAL,STEPHANIE MORENO,91,0,0,20,80,0,20,40,35,15,0,20,20,25,25
TEQUILA ETERNO VERANO AÑEJO,TEQUILA AÑEJO,WHISKEY BARRELS,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,3,ETERNO VERANO ,1,4.75,RICH,AMANDA SCHUSTER,91,5,15,25,20,10,0,60,50,5,5,0,10,30,5
CALIROSA ROSA BLANCO TEQUILA,TEQUILA BLANCO,CALIFORNIA RED WINE BARRELS,"JALISCO, MEXICO",30 DAYS,40.0,2,CALIROSA ,11,4.23,FRUITY,AMANDA SCHUSTER,91,0,25,20,15,0,5,40,50,15,5,0,15,60,30
VAMONOS RIENDO MEZCAL JOVEN,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,42.0,3,VAMONOS RIENDO ,unknown,unknown,RICH,ANNA ARCHIBALD,91,30,10,0,20,7,0,70,20,0,45,0,25,50,30
VOLCÁN DE MI TIERRA CRISTALINO AÑEJO,TEQUILA AÑEJO,FORMER WHISKY AND COGNAC BARRELS,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,3,VOLCÁN DE MI TIERRA ,14,4.17,SWEET & FRUITY,JOHN RANKIN,91,5,0,55,10,15,0,55,85,45,55,20,5,65,5
CÓDIGO 1530 ROSA TEQUILA,TEQUILA BLANCO,EX-NAPA CABERNET SAUVIGNON FRENCH WHITE OAK,"JALISCO, MEXICO",NAS,40.0,3,CÓDIGO 1530 ,90,3.89,UMAMI,JACK ROBERTIELLO,91,0,30,25,25,25,0,20,20,20,20,40,10,25,10
DEL MAGUEY WILD PAPALOME MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,45.0,4,DEL MAGUEY ,13,4.38,EARTHY & SMOKY,OMARI WHEAT,91,90,99,50,30,45,45,80,70,25,30,80,0,65,0
DEL MAGUEY ESPADÍN ESPECIAL MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,45.0,4,DEL MAGUEY ,7,3.46,RICH & SMOKY,OMARI WHEAT,91,80,60,45,65,40,25,90,75,15,70,40,20,70,0
MEZCAL MARCA NEGRA ENSAMBLE,MEZCAL JOVEN,NONE,"OAXACA, MEXICO",NAS,47.0,4,MEZCAL MARCA NEGRA ,11,4.05,SMOKY & HERBAL,KELLEY SLAGLE,91,70,60,20,60,0,40,0,50,40,0,28,0,40,10
EL JOLGORIO PECHUGA MEZCAL,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,48.0,4,EL JOLGORIO ,20,4.52,OILY,JACOB GRIER,91,10,10,20,20,50,10,40,30,20,10,10,10,20,0
WAHAKA MEZCAL ESPADÍN,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,40.0,2,WAHAKA MEZCAL ,64,3.96,HERBAL & UMAMI,DANIEL DJANG,91,65,55,55,70,20,10,45,45,55,45,65,10,60,45
MEZCAL PIERDE ALMAS PECHUGA,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,51.0,5,PIERDE ALMAS ,7,4.75,UMAMI & FRUITY,DANIEL DJANG,91,65,65,60,65,30,25,60,60,60,65,80,10,75,70
EL TESORO REPOSADO TEQUILA,TEQUILA REPOSADO,EX-BOURBON,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,3,EL TESORO ,101,3.97,FRUITY,STEPHANIE MORENO,91,5,25,25,35,45,15,45,45,10,10,0,20,45,0
MEZCAL PIERDE ALMAS COYOTE 2014,MEZCAL JOVEN,unknown,unknown,unknown,50.0,4,unknown,unknown,unknown,SMOKY,RON BECHTOL,91,45,30,25,35,10,10,25,5,30,20,30,5,20,15
KOCH EL MEZCAL ARROQUEÑO,MEZCAL JOVEN,unknown,unknown,unknown,47.0,4,unknown,5,3.95,FRUITY & SALTY,OMARI WHEAT,91,60,30,70,55,30,35,75,60,45,75,10,60,85,10
DON JULIO 70 AÑEJO CLARO TEQUILA,TEQUILA AÑEJO,USED AMERICAN OAK,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,3,DON JULIO ,287,4.25,SWEET & RICH,STEPHANIE MORENO,91,0,15,40,55,25,20,70,75,20,15,10,30,35,10
CASA DRAGONES SIPPING TEQUILA JOVEN,TEQUILA JOVEN,unknown,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,5,CASA DRAGONES ,75,4.58,FRUITY & SWEET,DUNCAN MCROBERTS,91,55,35,50,25,75,25,60,85,70,80,30,60,90,60
MEZCAL PIERDE ALMAS BOTANICA +9,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,45.0,4,MEZCAL PIERDE ALMAS ,10,4.02,HERBAL & FLORAL,DANIEL DJANG,91,72,67,61,78,52,15,62,65,60,56,61,15,64,76
HERENCIA MEXICANA EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,unknown,unknown,unknown,40.0,4,unknown,3,3.25,SWEET & RICH,OMARI WHEAT,91,30,60,70,35,45,35,90,90,20,35,55,15,85,30
HERENCIA MEXICANA AÑEJO TEQUILA,TEQUILA AÑEJO,unknown,unknown,unknown,40.0,2,unknown,12,4.56,RICH & SWEET,OMARI WHEAT,91,20,65,60,30,30,25,90,85,5,40,45,10,50,30
TEQUILA GRAN DOVEJO BLANCO,TEQUILA BLANCO,unknown,unknown,unknown,40.0,2,unknown,2,3.0,FRUITY & SPICY,DISTILLER STAFF,91,11,26,78,74,19,64,22,68,34,20,6,51,78,28
TEQUILA OCHO AÑEJO LOS CORRALES 2010,TEQUILA AÑEJO,unknown,"LOS ALTOS, JALISCO, MEXICO",unknown,40.0,3,TEQUILA OCHO ,3,4.42,HERBAL & EARTHY,DANIEL DJANG,91,35,65,60,70,25,10,20,55,20,15,10,10,60,60
TEQUILA OCHO PLATA LOS CORRALES 2010,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,3,TEQUILA OCHO ,unknown,unknown,HERBAL & MINERAL,DANIEL DJANG,91,15,45,55,75,30,10,40,50,70,30,10,10,60,40
123 ORGANIC BLANCO (UNO) TEQUILA,TEQUILA BLANCO,unknown,unknown,unknown,40.0,2,unknown,34,4.19,FLORAL & MINERAL,RYAN CONKLIN,91,45,81,77,77,74,60,69,72,83,68,74,65,75,88
TEQUILA CABEZA BLANCO,TEQUILA BLANCO,unknown,unknown,unknown,43.0,2,unknown,9,4.17,FRUITY,STEPHANIE MORENO,91,5,20,20,40,50,15,40,30,25,20,5,35,75,0
MEZCAL ALIPÚS SAN ANDRES,MEZCAL JOVEN,unknown,unknown,unknown,46.8,2,unknown,61,4.0,SMOKY,STEPHANIE MORENO,91,65,50,15,45,30,20,35,15,35,25,15,50,25,25
TEQUILA OCHO PLATA MESA COLORADA PUNTAS DISTILLER'S CUT 2023,TEQUILA BLANCO,unknown,"JALISCO, MEXICO",NAS,53.0,3,TEQUILA OCHO ,8,4.44,HERBAL & RICH,STEPHANIE MORENO,90,0,45,45,85,20,25,60,30,20,0,10,20,20,0
EL TESORO MUNDIAL COLLECTION: LAPHROAIG EDITION (2023 RELEASE),TEQUILA AÑEJO,LAPHROAIG 10 YEAR SINGLE MALT CASKS,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,5,EL TESORO ,4,4.63,HERBAL,STEPHANIE MORENO,90,30,50,30,65,15,30,40,30,15,15,20,10,15,0
PATRÓN EL CIELO,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,4,PATRÓN ,5,3.15,FRUITY & HERBAL,STEPHANIE MORENO,90,0,15,30,65,10,35,35,40,35,10,0,45,65,0
NOCHELUNA SOTOL,SOTOL,unknown,"CHIHUAHUA, MEXICO",NAS,43.0,3,NOCHELUNA ,4,4.56,HERBAL & EARTHY,STEPHANIE MORENO,90,30,70,10,85,0,20,50,10,15,0,10,20,20,0
AVIÓN RESERVA CRISTALINO,TEQUILA AÑEJO,AMERICAN OAK,MEXICO,NAS,40.0,4,AVIÓN ,2,3.38,RICH,STEPHANIE MORENO,90,20,40,35,50,25,45,60,45,10,0,0,35,35,0
GRAN CENTENARIO LEYENDA EXTRA AÑEJO,TEQUILA EXTRA AÑEJO,NEW AMERICAN OAK,"JALISCO, MEXICO",NAS,40.0,4,GRAN CENTENARIO ,18,4.23,RICH & SPICY,ANNA ARCHIBALD,90,25,40,55,0,0,15,80,35,15,26,0,0,0,0
LOS VECINOS DEL CAMPO ENSAMBLE NO. 1 MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,45.0,3,LOS VECINOS DEL CAMPO ,3,3.58,EARTHY,ANNA ARCHIBALD,90,15,60,35,50,0,0,30,15,15,30,0,10,20,7
DOS HOMBRES ESPADIN MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,42.0,3,DOS HOMBRES ,59,3.7,RICH,AMANDA SCHUSTER,90,40,15,10,25,3,5,60,50,25,10,3,20,40,15
CENOTE CRISTALINO AÑEJO TEQUILA,TEQUILA AÑEJO,AMERICAN OAK,MEXICO,NAS,40.0,3,CENOTE ,8,3.93,BITTER,STEPHANIE MORENO,90,10,30,40,25,15,45,35,40,10,0,0,35,10,0
VIVA XXXII TEQUILA JOVEN,TEQUILA JOVEN,unknown,MEXICO,NAS,40.0,2,VIVA XXXII ,2,4.13,SPICY & SWEET,JOHN RANKIN,90,5,15,80,15,20,0,60,75,55,65,25,0,10,10
