abv %,cost,# ratings,community rating,expert score,smoky,earthy,spicy,herbal,oily,bitter,rich,sweet,mineral,salty,umami,tart,fruity,floral,type_MEZCAL AÑEJO,type_MEZCAL JOVEN,type_MEZCAL REPOSADO,type_RAICILLA,type_SOTOL,type_TEQUILA AÑEJO,type_TEQUILA BLANCO,type_TEQUILA EXTRA AÑEJO,type_TEQUILA JOVEN,type_TEQUILA REPOSADO
47.8,4,31,4.42,94,74,72,55,77,25,10,62,15,67,60,72,10,20,35,False,True,False,False,False,False,False,False,False,False
40.0,2,3,1.0,94,25,10,20,50,15,0,30,60,10,5,5,0,40,10,False,True,False,False,False,False,False,False,False,False
40.0,3,10,4.5,94,45,75,70,50,40,5,70,75,35,15,30,5,60,30,False,False,False,False,False,True,False,False,False,False
46.0,3,255,4.32,94,70,70,70,60,30,25,80,75,50,70,65,30,50,20,False,True,False,False,False,False,False,False,False,False
40.0,3,11,4.64,94,15,5,35,30,10,0,60,50,10,0,0,0,40,0,False,False,False,False,False,True,False,False,False,False
40.0,2,266,4.45,94,0,45,20,50,30,30,50,50,40,20,10,30,50,10,False,False,False,False,False,False,True,False,False,False
40.0,2,25,3.74,94,0,10,40,30,20,0,80,70,15,0,0,0,30,0,False,False,False,False,False,True,False,False,False,False
46.7,4,6,4.0,94,50,50,5,15,65,25,45,25,25,25,25,50,60,5,False,True,False,False,False,False,False,False,False,False
40.0,2,7,4.43,94,10,30,20,85,15,20,40,35,25,15,40,30,40,0,False,False,False,False,False,False,True,False,False,False
40.0,2,21,4.41,94,20,25,50,40,25,5,35,20,5,5,35,5,15,15,False,False,False,False,False,True,False,False,False,False
40.0,2,24,4.09,94,20,20,50,45,20,5,30,25,5,5,30,5,20,15,False,False,False,False,False,False,False,False,False,True
54.0,3,1,4.0,93,3,10,8,10,0,5,50,30,25,20,8,15,35,5,False,False,False,False,False,False,True,False,False,False
40.0,3,1,4.25,93,0,8,25,20,10,0,70,35,10,8,15,15,30,5,False,False,False,False,False,True,False,False,False,False
40.0,5,4,3.83,93,5,10,20,10,15,2,50,50,5,5,8,0,15,0,False,False,False,False,False,False,False,True,False,False
40.0,4,6,3.54,93,0,20,25,55,10,35,55,35,20,0,0,45,45,10,False,False,False,False,False,False,False,False,False,True
43.5,4,5,4.5,93,3,10,30,15,20,0,70,35,0,5,0,10,40,5,False,False,False,False,False,False,False,False,False,True
40.0,2,2,4.25,93,15,40,30,40,35,40,50,25,25,10,10,45,0,40,False,False,False,False,False,False,False,False,False,True
47.0,4,2,4.63,93,60,10,20,80,20,30,50,40,60,30,20,40,80,20,False,True,False,False,False,False,False,False,False,False
44.0,5,3,4.83,93,40,30,30,90,60,50,40,40,40,20,40,50,40,80,False,True,False,False,False,False,False,False,False,False
40.0,4,28,4.03,93,45,55,45,65,15,55,65,60,15,0,20,45,10,0,False,False,False,False,False,True,False,False,False,False
40.0,4,52,4.27,93,40,30,30,60,30,40,90,80,10,50,20,20,20,0,False,False,False,False,False,True,False,False,False,False
40.0,3,43,4.28,93,25,30,65,17,10,0,85,30,0,10,0,10,15,0,False,False,False,False,False,False,False,False,False,True
41.5,5,8,4.63,93,15,20,85,40,15,15,15,40,0,0,15,30,20,0,False,False,False,False,False,False,False,True,False,False
